Key,filename & rawValue,enkaId,sortId,en,chs,cht,jp,kr,fr,it,ru,de,vi
$asset.nameCard:UI_NameCardPic_Zdg1_P,UI_NameCardPic_Zdg1_P,210031,31,Achievement: Snowy Land,成就·雪乡,成就·雪鄉,アチーブメント·雪郷,업적·눈의 땅,Succès - Pays de la neige,Obiettivo: Terra della Neve,Вечный холод,Errungenschaft – Verschneite Landschaft,Thành tựu - Quê hương của tuyết
$asset.nameCard:UI_NameCardPic_Lyws1_P,UI_NameCardPic_Lyws1_P,210032,32,Achievement: Cliffhanger,成就·合扇,成就·闔扇,アチーブメント·合扇,업적·부채,Succès - Suspense,Obiettivo: Suspense,Неожиданный поворот,Errungenschaft – Bekannte Geschichten,Thành tựu - Cánh quạt
$asset.nameCard:UI_NameCardPic_Ysxf1_P,UI_NameCardPic_Ysxf1_P,210033,33,Achievement: Reunion,成就·相逢,成就·相逢,アチーブメント·出会い,업적·만남,Succès - Rencontre,Obiettivo: Riunione,Долгожданная встреча,Errungenschaft – Wiedersehen,Thành tựu - Gặp gỡ
$asset.nameCard:UI_NameCardPic_Ningguang_P,UI_NameCardPic_Ningguang_P,210038,34,Ningguang: Phoenix,凝光·凤仪,凝光·鳳儀,凝光·鳳儀,응광·봉황의 자태,Ningguang - Phénix,Ningguang: Fenice,Величие феникса,Ningguang – Phönix,Ningguang - Cốt cách phượng hoàng
$asset.nameCard:UI_NameCardPic_Beidou_P,UI_NameCardPic_Beidou_P,210039,35,Beidou: Weighing Anchor,北斗·拔锚,北斗·拔錨,北斗·拔錨,북두·출항,Beidou - Levée d'ancre,Beidou: Tempo di salpare,Якорь,Beidou – Ankerlichtung,Beidou - Nhổ neo
$asset.nameCard:UI_NameCardPic_Chongyun_P,UI_NameCardPic_Chongyun_P,210040,36,Chongyun: Spirit Blade,重云·灵刃,重雲·靈刃,重雲·霊刃,중운·영도,Chongyun - Lame de l'esprit,Chongyun: Lama spirituale,Духовные лезвия,Chongyun – Seelenklinge,Chongyun - Linh nhẫn
$asset.nameCard:UI_NameCardPic_Tzz2_P,UI_NameCardPic_Tzz2_P,210041,37,Achievement: Challenger II,成就·挑战·其二,成就·挑戰·其二,アチーブメント·挑戦·2,업적·도전·두 번째,Succès - Défi (2),Obiettivo: Competitività II,Испытания II,"Errungenschaft – Herausforderung, die Zweite",Thành tựu - Khiêu chiến (II)
$asset.nameCard:UI_NameCardPic_Bp2_P,UI_NameCardPic_Bp2_P,210042,38,Travel Notes: Fading Star,纪行·熄星,紀行·熄星,紀行·熄星,기행·꺼진 별,PB - Météorite,Appunti di viaggio: Stella cadente,Погасшая звезда,Erlebnispass: Schwindende Sterne,Khởi Hành-Tức Tinh
$asset.nameCard:UI_NameCardPic_Diona_P,UI_NameCardPic_Diona_P,210043,39,Diona: Meow!,迪奥娜·呜喵,迪奧娜·嗚喵,ディオナ·にゃん,디오나·냐옹,Diona - Miaou !,Diona: Miao!,Мяу-мяу!,Diona – Miau!,Diona - Meo
$asset.nameCard:UI_NameCardPic_Zhongli_P,UI_NameCardPic_Zhongli_P,210044,40,Zhongli: Planet Befall,钟离·天星,鍾離·天星,鍾離·天星,종려·천성,Zhongli - Chute de météore,Zhongli: Pioggia meteoritica,Падение кометы,Zhongli – Einstürzender Himmel,Zhongli - Thiên Tinh
$asset.nameCard:UI_NameCardPic_Xinyan_P,UI_NameCardPic_Xinyan_P,210045,41,Xinyan: Song's End,辛焱·唱罢,辛焱·唱罷,辛炎·演奏終了,신염·연주 끝,Xinyan - Final,Xinyan: Finale,Музыка свободы,Xinyan – Ende des Lieds,Xinyan - Sau khi hát
$asset.nameCard:UI_NameCardPic_Tartaglia_P,UI_NameCardPic_Tartaglia_P,210046,42,Childe: Foul Legacy,公子·魔装,公子·魔裝,公子·魔装,타르탈리아·마왕 무장,Tartaglia - Posture du démon,Principe: Eredità immonda,Маска,Graf – Dämonengewand,Childe - Quỷ Trang
$asset.nameCard:UI_NameCardPic_Md2_P,UI_NameCardPic_Md2_P,210047,43,Mondstadt: Hero's Fame,蒙德·英名,蒙德·英名,モンド·英名,몬드·명예,Mondstadt - Célébrité,Mondstadt: Fama dell'eroe,Почётный рыцарь,Mondstadt – Heldenruhm,Mondstadt - Lẫy Lừng
$asset.nameCard:UI_NameCardPic_Md1_P,UI_NameCardPic_Md1_P,210048,44,Mondstadt: Blessing,蒙德·祝愿,蒙德·祝願,モンド·祝福,몬드·축복,Mondstadt - Vœux,Mondstadt: Benedizione,Молитва,Mondstadt – Segen,Mondstadt - Chúc Phúc
$asset.nameCard:UI_NameCardPic_Ly1_P,UI_NameCardPic_Ly1_P,210049,45,Liyue: A Thousand Ships,璃月·千帆,璃月·千帆,璃月·千帆,리월·천범,Liyue - Navires,Liyue: Mille navi,Паруса,Liyue – Tausend Segel,Liyue - Thiên Phàm
$asset.nameCard:UI_NameCardPic_Ly2_P,UI_NameCardPic_Ly2_P,210050,46,Liyue: In the Clouds,璃月·云间,璃月·雲間,璃月·雲間,리월·구름,Liyue - Dans les nuages,Liyue: Tra le nuvole,Среди облаков,Liyue – In den Wolken,Liyue - Vân Gián
$asset.nameCard:UI_NameCardPic_Tzz3_P,UI_NameCardPic_Tzz3_P,210051,47,Achievement: Challenger III,成就·挑战·其三,成就·挑戰·其三,アチーブメント·挑戦·3,업적·도전·세 번째,Succès - Défi (3),Obiettivo: Competitività III,Испытания III,"Errungenschaft – Herausforderung, die Dritte",Thành tựu - Khiêu chiến (III)
$asset.nameCard:UI_NameCardPic_Xssdlk_P,UI_NameCardPic_Xssdlk_P,210052,48,Achievement: Snowy Summit,成就·雪峰,成就·雪峰,アチーブメント·雪山,업적·설봉,Succès - Sommet enneigé,Obiettivo: Sommità innevata,Снежный пик,Errungenschaft – Schneegipfel,Thành tựu - Đỉnh tuyết
$asset.nameCard:UI_NameCardPic_Ganyu_P,UI_NameCardPic_Ganyu_P,210053,49,Ganyu: Qilin,甘雨·麟迹,甘雨·麟跡,甘雨·麒麟の跡,감우·기린 흔적,Ganyu - Qilin,Ganyu: Qilin,Цилинь,Ganyu – Qilin,Ganyu - Lân Tích
$asset.nameCard:UI_NameCardPic_Albedo_P,UI_NameCardPic_Albedo_P,210054,50,Albedo: Sun Blossom,阿贝多·阳花,阿貝多·陽花,アルベド·陽華,알베도·태양꽃,Albedo - Radiance solaire,Albedo: Fiore del sole,Цветок солнца,Albedo – Sonneneruption,Albedo - Hướng Dương
$asset.nameCard:UI_NameCardPic_Bp3_P,UI_NameCardPic_Bp3_P,210055,51,Travel Notes: Chalk,纪行·白垩,紀行·白堊,紀行·白亜,기행·백악,PB - Craie,Appunti di viaggio: Gesso,Мел,Erlebnispass – Kreide,Nhật Ký Hành Trình - Vôi Trắng
$asset.nameCard:UI_NameCardPic_ElderTree_P,UI_NameCardPic_ElderTree_P,210056,52,Frostbearing: Ancient Tree,忍冬·古树,忍冬·古樹,冬忍び·古樹,인동·고목,Permagel - Arbre ancien,Geleterno: Albero antico,Древнее дерево,Permafrost – Alter Baum,Chịu Lạnh - Cổ Thụ
$asset.nameCard:UI_NameCardPic_EffigyChallenge_P,UI_NameCardPic_EffigyChallenge_P,210057,53,Celebration: Hypostasis,庆典·无相,慶典·無相,祭典·無相,축제·무상,Célébration - Hypostase,Celebrazione: Ipostasi,Гипостазис,Feierlichkeit – Hypostase,Lễ Hội - Nguyên Bản
$asset.nameCard:UI_NameCardPic_Xiao_P,UI_NameCardPic_Xiao_P,210058,54,Xiao: Mask,魈·傩面,魈·儺面,魈·儺面,소·가면,Xiao - Masque,Xiao: Maschera,Маска Якса,Xiao – Maske,Xiao - Mặt Nạ
$asset.nameCard:UI_NameCardPic_Hutao_P,UI_NameCardPic_Hutao_P,210059,55,Hu Tao: Spirit Soother,胡桃·安神,胡桃·安神,胡桃·安神,호두·정신 안정,Hu Tao - Pacificatrice,Hu Tao: Sollievo dello spirito,Упокоение духов,Hu Tao – Besänftigung,Hu Tao - An Thần
$asset.nameCard:UI_NameCardPic_Bp4_P,UI_NameCardPic_Bp4_P,210060,56,Travel Notes: Mingxiao,纪行·明霄,紀行·明霄,紀行·明霄,기행·명소,PB - Mingxiao,Appunti di viaggio: Mingxiao,Лунный фонарь,Erlebnispass – Mingxiao,Nhật Ký Hành Trình - Minh Tiêu
$asset.nameCard:UI_NameCardPic_LanternRite_P,UI_NameCardPic_LanternRite_P,210061,57,Celebration: Lantern-Light,庆典·灯昼,慶典·燈晝,祭典·灯昼,축제·밝은 등불,Célébration - Lanternes,Celebrazione: Luce delle lanterne,Свет фонаря,Feierlichkeit – Laternenlicht,Lễ Hội - Ánh Đèn
$asset.nameCard:UI_NameCardPic_TheatreMechanicus_P,UI_NameCardPic_TheatreMechanicus_P,210062,58,Celebration: Mechanicus,庆典·棋谭,慶典·棋譚,祭典·棋譚,축제·기담,Célébration - Échecs,Celebrazione: Teatro meccanico,Механикус,Feierlichkeit – Vorrichtungen,Lễ Hội - Cờ
$asset.nameCard:UI_NameCardPic_Rosaria_P,UI_NameCardPic_Rosaria_P,210063,59,Rosaria: Indenture,罗莎莉亚·苦役,蘿莎莉亞·苦役,ロサリア·苦役,로자리아·고역,Rosalia - Éternel labeur,Rosaria: Obbligo,Каторга,Rosaria – Knechtschaft,Rosaria - Khổ Sai
$asset.nameCard:UI_NameCardPic_Bp5_P,UI_NameCardPic_Bp5_P,210064,60,Travel Notes: Windblume,纪行·风花,紀行·風花,紀行·風花,기행·윈드블룸,PB - Alizée,Appunti di viaggio: Florvento,Анемония,Erlebnispass – Windblumen,Nhật Ký Hành Trình Hoa Gió
$asset.nameCard:UI_NameCardPic_RedandWhite_P,UI_NameCardPic_RedandWhite_P,210065,61,Celebration: Feast,庆典·盛宴,慶典·盛宴,祭典·宴会,축제·연회,Célébration - Festin,Celebrazione: Banchetto,Великое пиршество,Feierlichkeit – Gelage,Lễ Hội - Tiệc Lớn
$asset.nameCard:UI_NameCardPic_Razer_P,UI_NameCardPic_Razer_P,210066,62,Celebration: Shining Scale,庆典·光鳞,慶典·光鱗,祭典·光鱗,축제·빛의 비늘,Célébration - Écaille brillante,Celebrazione: Squame splendenti,Сияющая чешуя,Feierlichkeit – Glitzernde Schuppe,Lễ Hội - Quang Lân
$asset.nameCard:UI_NameCardPic_ChannellerSlab_P,UI_NameCardPic_ChannellerSlab_P,210067,63,Celebration: Fruit of Wisdom,庆典·慧果,慶典·慧果,祭典·知恵の実,축제·지혜의 열매,Célébration - Fruit de la sagesse,Celebrazione: Frutto della saggezza,Плод мудрости,Feierlichkeit – Frucht der Weisheit,Lễ Hội - Tuệ Quả
$asset.nameCard:UI_NameCardPic_HideandSeek_P,UI_NameCardPic_HideandSeek_P,210068,64,Celebration: Peekaboo!,庆典·躲猫,慶典·躲貓,祭典·かくれんぼ,축제·숨바꼭질,Célébration - Coucou !,Celebrazione: Cucù!,Ку-ку!,Feierlichkeit – Versteckspiel,Lễ Hội - Trốn Tìm
$asset.nameCard:UI_NameCardPic_Feiyan_P,UI_NameCardPic_Feiyan_P,210069,65,Yanfei: Impartial,烟绯·公正,煙緋·公正,煙緋·公正,연비·공정,Yanfei - Impartialité,Yanfei: Imparzialità,Справедливость,Yanfei – Gerechtigkeit,Yanfei - Công Chính
$asset.nameCard:UI_NameCardPic_Eula_P,UI_NameCardPic_Eula_P,210070,66,Eula: Ice-Sealed,优菈·冰印,優菈·冰印,エウルア·氷印,유라·얼음 인장,Eula - Sceau de glace,Eula: Sigillo glaciale,Морозная печать,Eula – Eissiegel,Eula - Ấn Băng
$asset.nameCard:UI_NameCardPic_Bp6_P,UI_NameCardPic_Bp6_P,210071,67,Travel Notes: Sub-Space Recreation,纪行·绕尘,紀行·繞塵,紀行·廻塵,기행·얽힌 속세,PB - Autre monde,Appunti di viaggio: Mondi alternativi,Другая реальность,Erlebnispass – Raumschaffung,Nhật Ký Hành Trình - Dạo Bước Cõi Trần
$asset.nameCard:UI_NameCardPic_Homeworld_P,UI_NameCardPic_Homeworld_P,210072,68,Achievement: Tea Time,成就·壶歌,成就·壺歌,アチーブメント·壺歌,업적·주전자의 노래,Succès - Heure du thé,Obiettivo: Ora del tè,Чайная песня,Errungenschaft – Teezeit,Thành Tựu - Ấm Trần Ca
$asset.nameCard:UI_NameCardPic_Kazuha_P,UI_NameCardPic_Kazuha_P,210073,69,Kaedehara Kazuha: Autumn Maple-Viewing,枫原万叶·秋山椛狩,楓原萬葉·秋山椛狩,楓原万葉·秋の紅葉狩り,카에데하라 카즈하·가을의 단풍 사냥,Kazuha - Chasse en montagne d'automne,Kaedehara Kazuha: Montagne d'autunno,Любование клёном,Kaedehara Kazuha – Ahornschau im Herbst,Kaedehara Kazuha - Lặng Ngắm Núi Thu
$asset.nameCard:UI_NameCardPic_Bp7_P,UI_NameCardPic_Bp7_P,210074,70,Travel Notes: Midsummer,纪行·盛夏,紀行·盛夏,紀行·真夏,기행·한 여름,PB - Été,Appunti di viaggio: Piena estate,Летний зной,Erlebnispass – Hochsommer,Nhật Ký Hành Trình – Mùa Hè Rực Rỡ
$asset.nameCard:UI_NameCardPic_Homeworld1_P,UI_NameCardPic_Homeworld1_P,210075,71,Achievement: Vacation Home,成就·旅居,成就·旅居,アチーブメント·旅居,업적·객지 생활,Succès - Maison de vacances,Obiettivo: Casa vacanze,Дом отдыха,Errungenschaft – Feriendomizil,Thành tựu – Cư trú
$asset.nameCard:UI_NameCardPic_Google_P,UI_NameCardPic_Google_P,210076,72,Celebration: Vastness,庆典·浩瀚,慶典·浩瀚,祭典·浩瀚,축제·드넒음,Célébration - Immensité,Celebrazione: Immensità,Необъятность,Feierlichkeit – Unermesslichkeit,Lễ Hội - Bao La
$asset.nameCard:UI_NameCardPic_BounceConjuringChallenge_P,UI_NameCardPic_BounceConjuringChallenge_P,210077,73,Celebration: Kaboomball,庆典·魔球,慶典·魔球,祭典·魔球,축제·마구,Célébration - Badaboum,Celebrazione: Bombabum,Бабах-мяч,Feierlichkeit – Bumm-Bumm-Ball,Lễ Hội – Bóng Ma Thuật
$asset.nameCard:UI_NameCardPic_EffigyChallenge02_P,UI_NameCardPic_EffigyChallenge02_P,210078,74,Celebration: Battlesong,庆典·斗剧,慶典·鬥劇,祭典·闘劇,축제·투극,Célébration - Chant guerrier,Celebrazione: Canto di guerra,Песнь битвы,Feierlichkeit – Kampflied,Lễ Hội – Đấu Kịch
$asset.nameCard:UI_NameCardPic_Oraionokami_P,UI_NameCardPic_Oraionokami_P,210079,75,Inazuma: Sacred Sakura,稻妻·神樱,稻妻·神櫻,稲妻·神櫻,이나즈마·신성한 벚나무,Inazuma - Cerisier sacré,Inazuma: Sakura sacro,Священная сакура,Inazuma – Heilige Sakura,Inazuma - Anh Đào Thần
$asset.nameCard:UI_NameCardPic_Bp8_P,UI_NameCardPic_Bp8_P,210080,76,Travel Notes: Grand Narukami Shrine,纪行·鸣神大社,紀行·鳴神大社,紀行·鳴神大社,기행·나루카미 다이샤,PB - Sanctuaire de Narukami,Appunti di viaggio: Gran Santuario di Narukami,Великий храм Наруками,Erlebnispass – Großer Narukami-Schrein,Nhật Ký Hành Trình - Đền Narukami
$asset.nameCard:UI_NameCardPic_Ayaka_P,UI_NameCardPic_Ayaka_P,210081,77,Kamisato Ayaka: Folding Fan,神里绫华·扇子,神里綾華·扇子,神里綾華·扇子,카미사토 아야카·부채,Kamisato Ayaka - Éventail,Kamisato Ayaka: Ventaglio,Веер,Kamisato Ayaka – Fächer,Kamisato Ayaka - Cây Quạt
$asset.nameCard:UI_NameCardPic_Yoimiya_P,UI_NameCardPic_Yoimiya_P,210082,78,Yoimiya: Auratus Spark,长野原宵宫·琉金火花,長野原宵宮·琉金火花,長野原宵宮·琉金の花火,나가노하라 요이미야·유금불꽃,Naganohara Yoimiya - Étincelle dorée,Naganohara Yoimiya: Scintilla d'Auratus,Искры золотой рыбки,Naganohara Yoimiya – Auratus-Funken,Naganohara Yoimiya - Hoa Lửa Kim Lưu
$asset.nameCard:UI_NameCardPic_Sayu_P,UI_NameCardPic_Sayu_P,210083,79,Sayu: Muji-Muji Daruma,早柚·不倒貉貉,早柚·不倒貉貉,早柚·むじむじだるま,사유·너구리 오뚝이,Sayu - Daruma Muji-muji,Sayu: Daruma Muji-muji,Мудзи-Мудзи Дарума,Sayu – Mujimuji-Daruma,Sayu - Muji-Muji Daruma
$asset.nameCard:UI_NameCardPic_Dq1_P,UI_NameCardPic_Dq1_P,210084,80,Inazuma: Raiden Emblem,稻妻·雷电之纹,稻妻·雷電之紋,稲妻·雷電の紋,이나즈마·번개의 문양,Inazuma - Emblème de Raiden,Inazuma: Emblema della Shogun,Эмблема Райдэн,Inazuma – Raiden-Wappen,Inazuma - Hoa Văn Lôi Điện
$asset.nameCard:UI_NameCardPic_Dq2_P,UI_NameCardPic_Dq2_P,210085,81,Inazuma: Kamisato Crest,稻妻·神里之纹,稻妻·神里之紋,稲妻·神里の紋,이나즈마·카미사토의 문양,Inazuma - Armoiries des Kamisato,Inazuma: Stemma dei Kamisato,Герб Камисато,Inazuma – Kamisato-Wappen,Inazuma - Hoa Văn Kamisato
$asset.nameCard:UI_NameCardPic_Ysxf2_P,UI_NameCardPic_Ysxf2_P,210086,82,Achievement: Gate,成就·门扉,成就·門扉,アチーブメント·扉,업적·문,Succès - Porte,Obiettivo: Porta,Врата,Errungenschaft – Tür,Thành Tựu - Cánh Cửa
$asset.nameCard:UI_NameCardPic_Csxy2_P,UI_NameCardPic_Csxy2_P,210087,83,Achievement: Traversal,成就·遍历,成就·遍歷,アチーブメント·遍歴,업적·누빔,Succès - Traversée,Obiettivo: Traversata,Преодоление,Errungenschaft – Reiseabenteuer,Thành Tựu - Trải qua
$asset.nameCard:UI_NameCardPic_Tzz4_P,UI_NameCardPic_Tzz4_P,210088,84,Achievement: Stone Dragon,成就·石龙,成就·石龍,アチーブメント·石龍,업적·석룡,Succès - Dragon de pierre,Obiettivo: Drago di pietra,Каменный дракон,Errungenschaft – Steindrache,Thành Tựu - Rồng Đá
$asset.nameCard:UI_NameCardPic_Homeworld2_P,UI_NameCardPic_Homeworld2_P,210089,85,Achievement: Full Bloom,成就·繁花,成就·繁花,アチーブメント·繁花,업적·무성한 꽃,Succès - Pleine floraison,Obiettivo: Piena fioritura,Пышное цветение,Errungenschaft – Volle Blüte,Thành Tựu - Trăm Hoa Đua Nở
