SymbolName,Key,Week,en,chs,cht,jp,kr,fr,it,ru,de,vi
weaponBorealWolf,$asset.dailyMaterial:weaponBorealWolf,TF,Boreal Wolf,「凛风奔狼」,「凜風奔狼」,「凛風奔狼」,칼바람 울프의 그리운 고향,Loup Boréal,Lupo Boreale,Арктический Волк,Borealischen Wolfs,Nỗi Nhớ Của Sói Bão
weaponGladiator,$asset.dailyMaterial:weaponGladiator,WS,Dandelion Gladiator,「狮牙斗士」,「獅牙鬥士」,「獅牙戦士」,라이언 투사의 이념,Chevalier Du Croc De Lion,Gladiatore,Львиный Клык,Löwenzahnkriegers,Lí Tưởng Của Đấu Sĩ Nanh Sư Tử
weaponGuyun,$asset.dailyMaterial:weaponGuyun,MR,Guyun,「孤云寒林」,「孤雲寒林」,「孤雲寒林」,고운한림의 신체,Guyun,Guyun,Гуюнь,Guyun,Thần Thể Rừng Băng Giá
weaponElixir,$asset.dailyMaterial:weaponElixir,TF,Mist Veiled,「雾海云间」,「霧海雲間」,「霧海雲間」,안개구름 속의 전환,Karstique,Nebbia,Заоблачное Море,Nebelschleiers,Kim Đơn Biển Sương Mù
weaponAerosiderite,$asset.dailyMaterial:weaponAerosiderite,WS,Aerosiderite,「漆黑陨铁」,「漆黑隕鐵」,「漆黒の隕鉄」,흑운철 덩이,Aérosidérite Noire,Aerosiderite,Чёрный Сидерит,Aerosiderit,Một Góc Thiên Thạch Đen
weaponDistantSea,$asset.dailyMaterial:weaponDistantSea,MR,Distant Sea,「远海夷地」,「遠海夷地」,「遠海夷地」,먼바다의 금빛 가지,Branche Marine,Mare Lontano,Внешнее Море,Fernen Meeres,Nhánh Quỳnh Ngọc Của Biển Xa
weaponNarukami,$asset.dailyMaterial:weaponNarukami,TF,Narukami,「鸣神御灵」,「鳴神御靈」,「鳴神御霊」,나루카미 어령의 용맹,Narukami,Narukami,Наруками,Narukami,Tình Yêu Của Narukami
weaponKijinMask,$asset.dailyMaterial:weaponKijinMask,WS,Mask,「今昔剧画」,「今昔劇畫」,「今昔劇画」,금석극화의 귀인(鬼人),Masque,Maschera,Маска,Maske,Nanh Cọp Của Gekiga
weaponTalisman,$asset.dailyMaterial:weaponTalisman,MR,Forest Dew,「谧林涓露」,「謐林涓露」,「静謐な森のしずく」,숲의 이슬을 닮은 금 부적,Talisman De La Rosée,Talismano,Ледяная Роса,Talisman,Bùa Rừng Xanh Sương Đọng - Sắt
weaponOasisGarden,$asset.dailyMaterial:weaponOasisGarden,TF,Oasis Garden,「绿洲花园」,「綠洲花園」,「オアシスガーデン」,오아시스 화원의 진리,Jardin D'oasis,Giardino Dell'oasi,Цветущий Оазис,Oase,Ân Huệ Vườn Hoa Ốc Đảo
weaponScorchingMight,$asset.dailyMaterial:weaponScorchingMight,WS,Scorching Might,「烈日威权」,「烈日威權」,「烈日権威」,태양 같은 권위의 과거,Pouvoir Brûlant,Possanza Infuocata,Пылающая Мощь,Sengenden Macht,Tia Sáng Của Ánh Nắng Quyền Uy 
weaponAncientChord,$asset.dailyMaterial:weaponAncientChord,MR,Ancient Chord,「悠古弦音」,「悠古弦音」,「悠久の弦」,오래된 현악의 울림,Accord Ancien,Un Antico Accordo,Древней Струны,Serenade,Cung Đàn Cổ Xưa
weaponDewdrop,$asset.dailyMaterial:weaponDewdrop,TF,Pure Sacred Dewdrop,「纯圣露滴」,「純聖露滴」,「純聖な雫」,성스러운 이슬의 정수,Rosée Sacrée Pure,Goccia Di Rugiada Sacra Pura,Чистой Капли Росы,Taus,Giọt Sương Thánh Thuần
weaponPristineSea,$asset.dailyMaterial:weaponPristineSea,WS,Goblet of the Pristine Sea,「无垢之海」,「無垢之海」,「無垢な海」,순결한 바다의 금잔,Gobelet De La Mer Immaculée,Calice Del Mare Immacolato,Чаша Непорочного Моря,Kelch,Của Biển Nguyên Sơ
